c Modeller - Base Network Transaction
c Date: 2021-04-22 09:33:28
c Project:        HELMEL_KEHI_30                                              
c Scenario 19:    bike
t nodes
c   Node          X-coord          Y-coord   Data1   Data2   Data3 Label
a*     5         25496760          6672947       0       0       0 A
a*     6         25496699          6673208       0       0       0 B
a*     7         25496713          6673627       0       0       0 B
a*  2792         25496187          6672919       0       0       0 C
a* 16001         25496338          6672630       0       0       0 -1
a* 17000         25495500          6672630       0       0       0 -1
a* 31001         25496474          6672385       0       0       0 -1
a* 31501         25496718          6672571       0       0       0 -1
a      1         25497089          6673245       0       0       0 B
a      2         25497132          6672893       0       0       0 A
a      3         25495961          6672287       0       0       0 A
a      4         25495862          6672673       0       0       0 A
t links
c   From     To  Length Modes        Typ Lan VDF   Data1   Data2   Data3
a      5      2 .290000 caf           21 1.0   1    2100     113       0
a      6      1 .440000 caf           21 1.0   1    2100     113       0
a      7      1 .460000 caf           21 1.0   1    2100     113       0
a   2792      4 .290000 caf           21 1.0   1    2100     113       0
a  16001      4 .290000 caf           21 1.0   1    2100     113       0
a  17000      4 .290000 caf           21 1.0   1    2100     113       0
a  31001      3 .290000 caf           21 1.0   1    2100     113       0
a  31501      2 .290000 caf           21 1.0   1    2100     113       0
a      1      6 .440000 caf           21 1.0   1    2100     113       0
a      1      7 .460000 caf           21 1.0   1    2100     113       0
a      1      2 .400000 cbf           21 1.0   1    2100     113       0
a      1      4 .380000 cbaf          21 1.0   1    2100     113       0
a      2      5 .290000 caf           21 1.0   1    2100     113       0
a      2  31501 .290000 caf           21 1.0   1    2100     113       0
a      2      3 .380000 cbf           21 1.0   1    2100     113       0
a      3  31001 .290000 caf           21 1.0   1    2100     113       0
a      3      2 .380000 cbf           21 1.0   1    2100     113       0
a      3      4 .500000 cbf           21 1.0   1    2100     113       0
a      4   2792 .290000 caf           21 1.0   1    2100     113       0
a      4  16001 .290000 caf           21 1.0   1    2100     113       0
a      4  17000 .290000 caf           21 1.0   1    2100     113       0
a      4      1 .380000 cbaf          21 1.0   1    2100     113       0
a      4      2 .600000 cbf           21 1.0   1    2100     113       0
a      4      3 .500000 cbf           21 1.0   1    2100     113       0
