sij2019	municipality	share
101	91	1
102	91	1
103	91	1
104	91	1
105	91	1
111	91	1
112	91	1
113	91	1
114	91	1
115	91	1
116	91	1
117	91	1
118	91	1
131	91	1
132	91	1
133	91	1
141	91	1
142	91	1
143	91	1
151	91	1
152	91	1
153	91	1
154	91	1
161	91	1
162	91	1
171	91	1
172	91	1
173	91	1
174	91	1
175	91	1
181	91	1
182	91	1
183	91	1
191	91	1
192	91	1
193	91	1
194	91	1
195	91	1
196	91	1
197	91	1
201	91	1
202	91	1
203	91	1
211	91	1
212	91	1
213	91	1
214	91	1
215	91	1
221	91	1
222	91	1
223	91	1
224	91	1
225	91	1
231	91	1
232	91	1
233	91	1
234	91	1
235	91	1
236	91	1
241	91	1
242	91	1
243	91	1
244	91	1
251	91	1
252	91	1
253	91	1
254	91	1
255	91	1
260	91	1
271	91	1
272	91	1
281	91	1
282	91	1
291	91	1
292	91	1
293	91	1
294	91	1
301	91	1
302	91	1
303	91	1
304	91	1
305	91	1
306	91	1
307	91	1
308	91	1
321	91	1
322	91	1
323	91	1
331	91	1
332	91	1
333	91	1
341	91	1
342	91	1
343	91	1
344	91	1
345	91	1
346	91	1
351	91	1
352	91	1
353	91	1
354	91	1
355	91	1
356	91	1
361	91	1
362	91	1
363	91	1
364	91	1
365	91	1
366	91	1
367	91	1
368	91	1
369	91	1
381	91	1
382	91	1
383	91	1
384	91	1
385	91	1
386	91	1
1001	91	1
1002	91	1
1003	91	1
1004	91	1
1005	91	1
1011	91	1
1012	91	1
1013	91	1
1014	91	1
1021	91	1
1022	91	1
1023	91	1
1024	91	1
1025	91	1
1026	91	1
1027	91	1
1031	91	1
1032	91	1
1033	91	1
1034	91	1
1035	91	1
1041	91	1
1042	91	1
1043	91	1
1044	91	1
1045	91	1
1046	91	1
1047	91	1
1051	91	1
1052	91	1
1053	91	1
1054	91	1
1055	91	1
1056	91	1
1061	91	1
1062	91	1
1063	91	1
1064	91	1
1065	91	1
1066	91	1
1067	91	1
1068	91	1
1069	91	1
1071	91	1
1081	91	1
1082	91	1
1083	91	1
1084	91	1
1085	91	1
1091	91	1
1092	91	1
1093	91	1
1094	91	1
1101	91	1
1102	91	1
1103	91	1
1104	91	1
1111	91	1
1112	91	1
1113	91	1
1114	91	1
1115	91	1
1116	91	1
1121	91	1
1122	91	1
1123	91	1
1124	91	1
1125	91	1
1126	91	1
1127	91	1
1128	91	1
1141	91	1
1142	91	1
1143	91	1
1144	91	1
1145	91	1
1146	91	1
1147	91	1
1148	91	1
1149	91	1
1151	91	1
1161	91	1
1162	91	1
1163	91	1
1164	91	1
1171	91	1
1172	91	1
1173	91	1
1174	91	1
1175	91	1
1181	91	1
1182	91	1
1183	91	1
1184	91	1
1185	91	1
1191	91	1
1192	91	1
1193	91	1
1201	91	1
1202	91	1
1203	91	1
1204	91	1
1205	91	1
1206	91	1
1211	91	1
1212	91	1
1213	91	1
1214	91	1
1215	91	1
1221	91	1
1222	91	1
1223	91	1
1224	91	1
1225	91	1
1226	91	1
1227	91	1
1228	91	1
1241	91	1
1242	91	1
1243	91	1
1244	91	1
1245	91	1
1246	91	1
1247	91	1
1248	91	1
1261	91	1
1262	91	1
1263	91	1
1271	91	1
1272	91	1
1273	91	1
1274	91	1
1275	91	1
1281	91	1
1282	91	1
1283	91	1
1284	91	1
1285	91	1
1286	91	1
1287	91	1
1291	91	1
1292	91	1
1293	91	1
1294	91	1
1301	91	1
1302	91	1
1303	91	1
1304	91	1
1311	91	1
1312	91	1
1313	91	1
1314	91	1
1321	91	1
1322	91	1
1331	91	1
1332	91	1
1333	91	1
1334	91	1
1335	91	1
1336	91	1
1337	91	1
1340	91	1
1351	91	1
1352	91	1
1353	91	1
1354	91	1
1355	91	1
1356	91	1
1357	91	1
1358	91	1
1371	91	1
1372	91	1
1373	91	1
1374	91	1
1375	91	1
1381	91	1
1382	91	1
1383	91	1
1384	91	1
1391	91	1
1392	91	1
1393	91	1
1394	91	1
1401	91	1
1402	91	1
1403	91	1
1404	91	1
1405	91	1
1411	91	1
1412	91	1
1421	91	1
1422	91	1
1423	91	1
1424	91	1
1431	91	1
1432	91	1
1433	91	1
1434	91	1
1435	91	1
1436	91	1
1441	91	1
1442	91	1
1443	91	1
1444	91	1
1445	91	1
1451	91	1
1452	91	1
1453	91	1
1454	91	1
1455	91	1
1461	91	1
1462	91	1
1463	91	1
1464	91	1
1465	91	1
1471	91	1
1472	91	1
1473	91	1
1474	91	1
1475	91	1
1476	91	1
1477	91	1
1478	91	1
1491	91	1
1492	91	1
1493	91	1
1494	91	1
1495	91	1
1496	91	1
1497	91	1
1498	91	1
1499	91	1
1511	91	1
1512	91	1
1513	91	1
1514	91	1
1515	91	1
1516	91	1
1520	91	1
1531	91	1
1532	91	1
1541	91	1
1542	91	1
1543	91	1
1544	91	1
1545	91	1
1546	91	1
1547	91	1
1548	91	1
1561	91	1
1562	91	1
1563	91	1
1564	91	1
1565	91	1
1570	91	1
1581	91	1
1582	91	1
1591	91	1
1592	91	1
1593	91	1
1601	91	1
1602	91	1
1603	91	1
2001	49	1
2002	49	1
2011	49	1
2012	49	1
2021	49	1
2022	49	1
2031	49	1
2032	49	1
2041	49	1
2042	49	1
2043	49	1
2051	49	1
2052	49	1
2061	49	1
