sij2019	zone	share
101 1 1
102 1 1
103 1 1
104 1 1
105 1 1
111 1 1
112 1 1
113 1 1
114 1 1
115 1 1
116 1 1
117 1 1
118 1 1
131 1 1
132 1 1
133 1 1
141 1 1
142 1 1
143 1 1
151 1 1
152 1 1
153 1 1
154 1 1
161 1 1
162 1 1
171 1 1
172 1 1
173 1 1
174 1 1
175 1 1
181 1 1
182 1 1
183 1 1
191 1 1
192 1 1
193 1 1
194 1 1
195 1 1
196 1 1
197 1 1
201 1 1
202 1 1
203 1 1
211 1 1
212 1 1
213 1 1
214 1 1
215 1 1
221 1 1
222 1 1
223 1 1
224 1 1
225 1 1
231 1 1
232 1 1
233 1 1
234 1 1
235 1 1
236 1 1
241 1 1
242 1 1
243 1 1
244 2 1
251 1 1
252 1 1
253 1 1
254 1 1
255 1 1
260 1 1
271 1 1
272 1 1
281 1 1
282 1 1
291 1 1
292 1 1
293 1 1
294 1 1
301 1 1
302 1 1
303 1 1
304 1 1
305 1 1
306 1 1
307 1 1
308 1 1
321 1 1
322 1 1
323 1 1
331 1 1
332 1 1
333 1 1
341 1 1
342 1 1
343 1 1
344 1 1
345 1 1
346 1 1
351 1 1
352 1 1
353 1 1
354 1 1
355 1 1
356 1 1
361 1 1
362 1 1
363 1 1
364 1 1
365 1 1
366 1 1
367 2 1
368 2 1
369 1 1
381 1 1
382 1 1
383 1 1
384 1 1
385 1 1
386 1 1
1001 2 1
1002 2 1
1003 2 1
1004 2 1
1005 2 1
1011 2 1
1012 2 1
1013 2 1
1014 2 1
1021 2 1
1022 2 1
1023 2 1
1024 2 1
1025 2 1
1026 2 1
1027 2 1
1031 2 1
1032 2 1
1033 2 1
1034 2 1
1035 2 1
1041 2 1
1042 2 1
1043 2 1
1044 2 1
1045 2 1
1046 2 1
1047 2 1
1051 2 1
1052 2 1
1053 2 1
1054 2 1
1055 2 1
1056 2 1
1061 2 1
1062 2 1
1063 2 1
1064 2 1
1065 2 1
1066 2 1
1067 2 1
1068 2 1
1069 2 1
1071 2 1
1081 2 1
1082 2 1
1083 2 1
1084 2 1
1085 2 1
1091 2 1
1092 2 1
1093 2 1
1094 2 1
