i,j,@count_type,@count_dir,@b_count
40211,43565,1,1,2220
40212,202499,1,2,1075
40347,221796,2,2,593
40350,240853,2,1,2058
40420,204685,1,2,1353
40538,199597,1,2,3113
42196,205149,2,2,497
43565,40211,1,2,2220
43573,50446,2,2,741
50443,198301,2,2,354
50446,43573,2,1,741
50507,201013,1,1,1963
198301,50443,2,1,354
199020,300035,2,2,728
199163,199164,2,2,247
199164,199163,2,1,247
199221,201859,2,1,671
199516,240783,2,1,658
199597,40538,1,1,3113
199881,199882,1,1,323
199882,199881,1,2,323
199940,280200,2,1,77
199943,199944,2,2,428
199944,199943,2,1,428
199993,200645,2,1,724
200188,201376,1,1,214
200208,212933,2,1,1532
200645,199993,2,2,724
200708,203644,1,1,3111
201013,50507,1,2,1963
201145,221245,2,2,473
201145,802234,2,2,885
201376,200188,1,2,214
201734,240841,1,2,1276
201739,214270,1,2,724
201859,199221,2,2,671
202499,40212,1,1,1075
203644,200708,1,2,3111
204685,40420,1,1,1353
204778,210905,2,1,424
204893,204895,2,2,24
204893,300042,2,2,392
204895,204893,2,1,24
204905,204906,2,2,1429
204906,204905,2,1,1429
204952,221036,1,2,2807
205149,42196,2,1,497
205214,205215,4,3,216
205215,205214,4,4,216
210905,204778,2,2,424
212128,212130,2,1,99
212130,212128,2,2,99
212933,200208,2,2,1532
214270,201739,1,1,724
221036,204952,1,1,2807
221245,201145,2,1,473
221796,40347,2,1,593
240783,199516,2,2,658
240841,201734,1,1,1276
240853,40350,2,2,2058
280200,199940,2,2,77
300028,300032,2,2,96
300032,300028,2,1,96
300035,199020,2,1,728
300042,204893,2,1,392
320302,320346,2,1,1495
320305,320306,2,2,960
320306,320305,2,1,960
320346,320302,2,2,1495
802234,201145,2,1,885
