i,j,@count_type,@count_dir,@c_count
40347,221796,2,2,1111
40350,240853,2,1,2043
40420,204685,1,2,1037
41018,67692,3,1,19
41053,227816,3,2,365
41720,280174,6,4,2760
41724,217418,6,3,2286
41829,310274,7,4,3270
42043,212511,5,3,3353
42064,204255,2,1,429
42400,212062,3,2,567
42473,214168,5,4,2210
42816,185981,7,3,3128
43468,64379,3,2,73
50080,197731,3,2,2361
50081,198301,2,1,4284
50169,227267,3,1,2114
50211,50212,3,2,974
50285,225785,3,2,1842
50424,50429,3,1,2493
50428,50425,3,2,3029
50433,50435,5,4,3650
50434,50432,5,3,2963
50507,201013,1,1,287
64379,43468,3,1,243
65756,50210,3,1,2157
66110,310608,3,1,28
67692,41018,3,2,6
185965,186693,3,1,643
185980,42815,7,4,1916
186693,185965,3,2,630
195620,50080,2,2,2439
197763,200018,3,1,926
198816,210405,5,4,3036
198824,198817,5,4,2241
199020,204893,2,2,364
199094,201734,1,2,833
199097,201375,1,1,274
199101,201739,1,2,588
199221,201859,2,1,478
199549,199595,4,3,1139
199595,199549,4,4,1034
199880,199913,1,1,3455
199882,199883,1,1,991
199883,199882,1,2,697
200018,197763,3,2,655
200083,200148,4,4,1477
200148,200083,4,3,1374
200219,200979,2,2,767
200708,203644,1,1,880
200943,203855,4,3,620
200979,200219,2,1,1514
201013,50507,1,2,72
201316,280346,2,2,1208
201375,199097,1,2,208
201734,199094,1,1,1046
201739,199101,1,1,610
201859,199221,2,2,150
203644,200708,1,2,444
203855,200943,4,4,660
204255,42064,2,2,181
204685,40420,1,1,1577
204695,221777,2,1,1168
204893,199020,2,1,1116
204905,200231,2,1,2794
204952,221036,1,2,609
205059,199920,1,2,1645
205214,205215,4,3,1784
205215,205214,4,4,2782
205306,213936,2,2,710
208143,199943,2,2,1070
208400,228190,7,3,3015
209146,209147,3,2,629
209147,209146,3,2,350
210728,50081,3,1,4235
210816,40302,7,4,1557
211157,211158,4,3,824
211158,211157,4,4,213
211202,214195,3,2,752
212062,42400,3,1,494
212698,310133,3,2,663
212760,227771,3,2,554
213723,221928,4,3,2466
213936,205306,2,1,1653
214195,211202,3,1,451
214258,213997,5,3,2654
217544,217554,7,4,2642
217719,197594,6,4,2605
217837,238898,3,2,592
218158,217174,7,3,1984
218566,221992,3,1,740
218703,310203,3,1,3373
220697,220714,3,1,3463
221036,204952,1,1,1376
221777,204695,2,2,412
221796,40347,2,1,1422
221992,218566,3,2,381
222578,222577,3,1,2892
225504,228197,3,2,514
225628,50284,3,1,3541
225717,227028,3,2,469
226140,310279,7,3,2742
226897,226898,3,1,851
227221,227222,7,3,2288
227265,225450,3,1,1220
227461,65574,3,2,818
227816,41053,3,1,463
227970,225931,3,1,368
228197,225504,3,1,1006
228270,226469,3,2,786
228529,206879,7,4,2280
228887,40214,7,4,1452
238032,40303,7,3,938
238898,217837,3,1,786
239371,218852,3,2,3118
239390,212271,5,4,3053
239400,239401,4,4,3634
240853,40350,2,2,1124
280175,41721,6,3,2678
280346,201316,2,1,1862
300054,280061,3,2,1305
310135,212699,3,1,2219
310202,310237,3,2,1842
310608,66110,3,2,15
40410,199549,0,0,1846
40414,199575,0,0,884
40420,204685,0,0,1030
42072,202975,0,0,80
42901,205311,0,0,837
43568,205333,0,0,1491
50507,201013,0,0,286
50516,205333,0,0,1364
199439,240841,0,0,1030
199549,40410,0,0,1279
199549,199550,0,0,438
199549,199595,0,0,1359
199550,199549,0,0,410
199575,40415,0,0,469
199575,199577,0,0,176
199575,205226,0,0,722
199577,199575,0,0,126
199595,199549,0,0,1230
199687,205333,0,0,342
199752,212415,0,0,648
199869,204680,0,0,1015
199880,199913,0,0,3437
199881,199882,0,0,972
199882,199881,0,0,690
200015,202859,0,0,1876
200023,200027,0,0,601
200027,200028,0,0,141
200028,212910,0,0,886
200042,200043,0,0,258
200042,204556,0,0,194
200042,280040,0,0,253
200043,200042,0,0,419
200044,200045,0,0,297
200045,200044,0,0,587
200045,201405,0,0,721
200045,203137,0,0,716
200045,204607,0,0,355
200095,203235,0,0,266
200095,204643,0,0,123
200095,220947,0,0,176
200188,201376,0,0,274
200420,200532,0,0,165
200532,200420,0,0,218
200532,205228,0,0,324
200532,205231,0,0,576
200532,205294,0,0,278
200708,203644,0,0,861
200717,201035,0,0,153
201013,50507,0,0,71
201027,205060,0,0,1788
201086,202865,0,0,201
201204,201035,0,0,610
201299,202505,0,0,378
201376,200188,0,0,205
201405,200045,0,0,866
201408,205134,0,0,32
201505,202865,0,0,37
201506,212415,0,0,913
201739,214270,0,0,581
202081,202975,0,0,190
202172,202865,0,0,51
202227,202975,0,0,445
202241,204957,0,0,131
202242,205115,0,0,155
202505,201299,0,0,289
202505,202007,0,0,52
202505,202610,0,0,358
202505,290000,0,0,256
202610,202505,0,0,513
202610,202612,0,0,415
202612,202610,0,0,543
202612,202613,0,0,646
202612,203643,0,0,115
202613,202612,0,0,644
202841,221129,0,0,531
202859,200015,0,0,1074
202859,202862,0,0,384
202859,203690,0,0,1551
202859,600011,0,0,29
202862,202859,0,0,176
202865,201086,0,0,96
202865,201505,0,0,97
202865,202172,0,0,53
202865,202866,0,0,161
202866,202865,0,0,119
202866,204680,0,0,74
202975,42072,0,0,100
202975,202081,0,0,233
202975,202227,0,0,388
202975,203035,0,0,179
203035,202975,0,0,185
203035,211612,0,0,156
203137,200045,0,0,811
203235,200095,0,0,246
203326,205311,0,0,1723
203643,202612,0,0,245
203644,200708,0,0,438
203690,202859,0,0,968
203787,203788,0,0,491
203788,201292,0,0,582
203788,203787,0,0,675
203788,205173,0,0,465
204085,213798,0,0,995
204547,204855,0,0,1247
204556,200042,0,0,178
204607,198957,0,0,405
204607,200045,0,0,323
204637,211612,0,0,64
204643,200095,0,0,170
204680,199869,0,0,612
204680,202866,0,0,86
204680,204951,0,0,357
204680,205071,0,0,753
204681,204682,0,0,647
204681,205147,0,0,349
204681,222164,0,0,1356
204682,204681,0,0,993
204685,40420,0,0,1562
204855,204547,0,0,1396
204855,205060,0,0,516
204855,205090,0,0,1283
204951,204680,0,0,33
204952,221036,0,0,607
204957,202241,0,0,132
205059,199920,0,0,1632
205060,204855,0,0,2127
205060,212914,0,0,1225
205071,204680,0,0,685
205115,202242,0,0,184
205134,201408,0,0,6
205147,204681,0,0,492
205172,214312,0,0,210
205173,203788,0,0,1231
205173,221970,0,0,301
205228,200532,0,0,697
205231,200532,0,0,341
205294,200532,0,0,193
205294,205311,0,0,65
205311,42901,0,0,1581
205311,203326,0,0,883
205311,205294,0,0,155
205311,205312,0,0,52
205312,205311,0,0,46
205333,43568,0,0,1451
205333,50516,0,0,1206
205333,199687,0,0,540
211040,211041,0,0,282
211041,211040,0,0,304
211041,213104,0,0,365
211041,213105,0,0,39
211041,214278,0,0,233
211416,211417,0,0,300
211417,211416,0,0,574
211417,211418,0,0,535
211418,211417,0,0,818
211612,203035,0,0,96
211612,204637,0,0,137
211612,213841,0,0,149
212248,212914,0,0,450
212407,204233,0,0,640
212415,201506,0,0,445
212794,213798,0,0,441
212910,200028,0,0,1129
212913,212914,0,0,908
212914,205060,0,0,980
212914,212248,0,0,271
212914,212913,0,0,1332
213104,211041,0,0,380
213105,211041,0,0,90
213795,200664,0,0,756
213798,212413,0,0,663
213798,213797,0,0,773
213841,211612,0,0,162
214182,221755,0,0,260
214270,201739,0,0,606
214278,211041,0,0,189
214312,214313,0,0,182
214312,221967,0,0,271
214312,221968,0,0,165
220947,200095,0,0,149
221036,204952,0,0,1368
221129,202841,0,0,499
221755,214182,0,0,251
221967,214312,0,0,138
221968,214312,0,0,270
221970,205173,0,0,153
222164,204681,0,0,867
240841,199439,0,0,832
280040,200042,0,0,134
280342,199575,0,0,357
290000,202505,0,0,63
600011,202859,0,0,20
40274,50136,0,0,627
40279,210008,0,0,580
40283,40278,0,0,530
40287,40278,0,0,420
40288,40279,0,0,557
40291,209222,0,0,383
40341,218582,0,0,922
40624,216179,0,0,80
40629,205935,0,0,1473
41055,226257,0,0,220
41056,226257,0,0,157
41777,228376,0,0,219
41778,228376,0,0,177
41779,41777,0,0,238
41780,41778,0,0,409
41781,228110,0,0,198
41976,226759,0,0,614
41977,41984,0,0,185
41981,228694,0,0,748
41984,41977,0,0,247
42020,220727,0,0,3090
42030,220614,0,0,370
42138,220092,0,0,489
42139,280035,0,0,444
42144,210008,0,0,204
42275,42273,0,0,475
42277,219236,0,0,436
42278,219784,0,0,537
42313,193969,0,0,140
42380,219203,0,0,210
42381,219203,0,0,321
42387,219192,0,0,290
42388,219113,0,0,217
42388,219192,0,0,181
42420,280027,0,0,151
42422,280027,0,0,340
42451,239494,0,0,305
42608,205617,0,0,2819
42751,209624,0,0,461
42752,209624,0,0,239
42753,209624,0,0,340
42757,210087,0,0,223
42758,210090,0,0,257
42759,210087,0,0,267
42820,210054,0,0,475
42821,226267,0,0,150
42822,227442,0,0,442
42823,226269,0,0,325
50137,40277,0,0,1167
50169,227267,0,0,2253
50208,306155,0,0,3362
50284,310573,0,0,3264
50343,50367,0,0,1844
50346,208831,0,0,2382
50358,228904,0,0,3530
50366,50342,0,0,3776
50437,310340,0,0,3527
185981,209390,0,0,3325
185983,185980,0,0,2084
193969,42313,0,0,300
193969,216043,0,0,480
205499,219269,0,0,3840
205947,190884,0,0,1438
207542,219046,0,0,2836
207999,219807,0,0,157
208717,219162,0,0,458
208717,219163,0,0,360
209633,219192,0,0,323
209634,219113,0,0,573
209687,220279,0,0,658
210008,40279,0,0,592
210008,42144,0,0,458
210054,226268,0,0,508
210064,50347,0,0,1346
210085,210087,0,0,246
210087,42757,0,0,330
210087,42759,0,0,136
210087,210085,0,0,318
210090,42758,0,0,305
210098,208812,0,0,5003
210104,210106,0,0,3376
210129,208438,0,0,624
210136,220086,0,0,511
210138,219169,0,0,650
212698,310133,0,0,646
216043,193969,0,0,1100
216287,216110,0,0,990
216288,216289,0,0,250
216289,216288,0,0,1020
216300,216289,0,0,400
216364,216287,0,0,220
218580,218582,0,0,421
218582,218580,0,0,600
218600,219525,0,0,320
219113,42388,0,0,245
219113,209634,0,0,388
219113,219114,0,0,347
219114,219113,0,0,236
219162,208717,0,0,565
219163,208717,0,0,408
219169,210138,0,0,480
219192,42387,0,0,251
219192,42388,0,0,216
219192,209633,0,0,348
219192,220780,0,0,326
219203,42380,0,0,397
219203,42381,0,0,292
219203,219563,0,0,150
219236,209686,0,0,293
