i,j,@count_type,@count_dir,@c_count
40347,221796,2,2,1645
40350,240853,2,1,1197
40420,204685,1,2,1764
41018,67692,3,1,11
41053,227816,3,2,680
41720,280174,6,4,2238
41724,217418,6,3,2351
41829,310274,7,4,3313
42043,212511,5,3,3194
42064,204255,2,1,192
42400,212062,3,2,580
42473,214168,5,4,2786
42816,185981,7,3,2616
43468,64379,3,2,343
50080,197731,3,2,3900
50081,198301,2,1,2549
50169,227267,3,1,1231
50211,50212,3,2,2115
50285,225785,3,2,3587
50424,50429,3,1,2986
50428,50425,3,2,2821
50433,50435,5,4,3927
50434,50432,5,3,3901
50507,201013,1,1,172
64379,43468,3,1,142
65756,50210,3,1,1274
66110,310608,3,1,38
67692,41018,3,2,24
185965,186693,3,1,719
185980,42815,7,4,3258
186693,185965,3,2,931
195620,50080,2,2,4070
197763,200018,3,1,878
198816,210405,5,4,2626
198824,198817,5,4,1547
199020,204893,2,2,1029
199094,201734,1,2,1200
199097,201375,1,1,186
199101,201739,1,2,719
199221,201859,2,1,351
199549,199595,4,3,1116
199595,199549,4,4,1141
199880,199913,1,1,1885
199882,199883,1,1,625
199883,199882,1,2,1044
200018,197763,3,2,752
200083,200148,4,4,1638
200148,200083,4,3,1369
200219,200979,2,2,1691
200708,203644,1,1,628
200943,203855,4,3,1176
200979,200219,2,1,916
201013,50507,1,2,192
201316,280346,2,2,2107
201375,199097,1,2,198
201734,199094,1,1,856
201739,199101,1,1,604
201859,199221,2,2,315
203644,200708,1,2,629
203855,200943,4,4,438
204255,42064,2,2,461
204685,40420,1,1,1105
204695,221777,2,1,490
204893,199020,2,1,674
204905,200231,2,1,1546
204952,221036,1,2,985
205059,199920,1,2,3354
205214,205215,4,3,1950
205215,205214,4,4,1749
205306,213936,2,2,1513
208143,199943,2,2,3077
208400,228190,7,3,2594
209145,209146,3,2,764
209146,209145,3,1,792
210728,50081,3,1,2647
210816,40302,7,4,1254
211157,211158,4,3,288
211158,211157,4,4,545
211202,214195,3,2,816
212062,42400,3,1,550
212698,310133,3,2,1863
212760,227771,3,2,1107
213723,221928,4,3,3753
213936,205306,2,1,880
