i,j,@count_type,@count_dir,@c_count
40347,221796,2,2,18996
40350,240853,2,1,17419
40420,204685,1,2,17612
41018,67692,3,1,176
41053,227816,3,2,6216
41720,280174,6,4,31297
41724,217418,6,3,28676
41829,310274,7,4,34173
42043,212511,5,3,42879
42064,204255,2,1,3068
42400,212062,3,2,6108
42473,214168,5,4,33006
42816,185981,7,3,32443
43468,64379,3,2,2359
50080,197731,3,2,37352
50081,198301,2,1,36522
50169,227267,3,1,14802
50211,50212,3,2,15742
50285,225785,3,2,28485
50424,50429,3,1,31229
50428,50425,3,2,30837
50433,50435,5,4,50350
50434,50432,5,3,46302
50507,201013,1,1,2077
64379,43468,3,1,1839
65756,50210,3,1,15783
66110,310608,3,1,341
185965,186693,3,1,7593
185980,42815,7,4,31282
186693,185965,3,2,8257
195620,50080,2,2,37352
197763,200018,3,1,8345
198816,210405,5,4,35895
198824,198817,5,4,27628
199020,204893,2,2,8567
199094,201734,1,2,14984
199097,201375,1,1,2545
199101,201739,1,2,9606
199221,201859,2,1,3031
199549,199595,4,3,17631
199595,199549,4,4,15664
199880,199913,1,1,28712
199882,199883,1,1,10212
199883,199882,1,2,11603
200018,197763,3,2,7572
200083,200148,4,4,17321
200148,200083,4,3,16778
200219,200979,2,2,15268
200708,203644,1,1,8342
200943,203855,4,3,8474
200979,200219,2,1,13477
201013,50507,1,2,1358
201316,280346,2,2,21432
201375,199097,1,2,2343
201734,199094,1,1,15261
201739,199101,1,1,9125
201859,199221,2,2,2211
203644,200708,1,2,7923
203855,200943,4,4,6539
204255,42064,2,2,3206
204685,40420,1,1,15661
204695,221777,2,1,8602
204893,199020,2,1,9849
204905,200231,2,1,25256
204952,221036,1,2,11223
205059,199920,1,2,29953
205214,205215,4,3,21359
205215,205214,4,4,24240
205306,213936,2,2,14659
208143,199943,2,2,26884
208400,228190,7,3,32131
209145,209146,3,2,8743
209146,209145,3,1,7365
210728,50081,3,1,36511
210816,40302,7,4,14724
211157,211158,4,3,4894
211158,211157,4,4,3944
211202,214195,3,2,9213
212062,42400,3,1,5797
212698,310133,3,2,13991
212760,227771,3,2,9182
213723,221928,4,3,45439
213936,205306,2,1,14876
214195,211202,3,1,7296
214258,213997,5,3,34674
217544,217554,7,4,25775
217719,197594,6,4,29844
217837,238898,3,2,6748
218158,217174,7,3,24443
218566,221992,3,1,6484
218703,310203,3,1,31482
220697,220714,3,1,39621
221036,204952,1,1,15957
221777,204695,2,2,8135
221796,40347,2,1,16689
221992,218566,3,2,6924
222578,222577,3,1,20581
225504,228197,3,2,8187
225628,50284,3,1,29248
225717,227028,3,2,5516
226140,310279,7,3,31731
226897,226898,3,1,9074
227221,227222,7,3,26802
227265,225450,3,1,9755
227461,65574,3,2,14465
227816,41053,3,1,6700
227970,225931,3,1,5209
228197,225504,3,1,7559
228270,226469,3,2,8911
228529,206879,7,4,30915
228887,40214,7,4,23337
238032,40303,7,3,13783
238898,217837,3,1,7375
239371,218852,3,2,40415
239390,212271,5,4,38150
239400,239401,4,4,51059
240853,40350,2,2,17749
280175,41721,6,3,32524
280346,201316,2,1,21155
300054,280061,3,2,19892
310135,212699,3,1,16172
310225,310202,3,2,29524
310608,66110,3,2,373
