i,j,@count_type,@count_dir,@t_count
40350,240853,2,1,1417
42064,204255,2,1,57
198300,198301,2,1,2627
199880,199913,1,1,3120
199882,199883,1,1,13
200708,203644,1,1,1123
200979,200219,2,1,197
201734,199094,1,1,1253
201739,199101,1,1,710
204685,40420,1,1,310
204893,199020,2,1,50
204905,200231,2,1,673
213936,205306,2,1,2013
221036,204952,1,1,1050
221796,40347,2,1,2157
280346,201316,2,1,1650
800004,800003,1,1,6283
800007,800006,2,1,7200
801001,801000,1,1,4056
801002,801001,2,1,6540
801029,801000,1,1,2417
801030,801029,2,1,3897
802008,802042,1,1,890
802029,802028,2,1,103
802097,802098,1,1,257
802124,802123,1,1,843
802134,802133,2,1,193
802165,802164,2,1,260
