i,j,@count_type,@count_dir,@t_count
40347,221796,2,2,15825
40350,240853,2,1,11475
40420,204685,1,2,550
42031,225749,4,4,1100
42064,204255,2,1,625
195620,197730,2,2,445
198300,198301,2,1,445
199094,201734,1,2,14205
199101,201739,1,2,11700
199880,199913,1,1,1110
199882,199883,1,1,1440
199883,199882,1,2,1440
200083,200148,4,4,5550
200148,200083,4,3,5550
200219,200979,2,2,1300
200708,203644,1,1,1965
200943,203855,4,3,1135
200979,200219,2,1,1300
201316,280346,2,2,16575
201734,199094,1,1,14205
201739,199101,1,1,11700
203644,200708,1,2,1965
203855,200943,4,4,1135
204255,42064,2,2,625
204685,40420,1,1,550
204871,213218,4,3,9115
204905,200231,2,1,4150
204952,221036,1,2,11455
205059,199920,1,2,1110
205214,205215,4,3,2630
205215,205214,4,4,2630
205306,213936,2,2,16675
208143,199943,2,2,4150
211157,211158,4,3,8260
211158,211157,4,4,8260
213218,204871,4,4,9115
213723,221928,4,3,1945
213936,205306,2,1,16675
221036,204952,1,1,11455
221796,40347,2,1,15825
222662,222663,4,4,6180
222681,222194,4,3,6180
225749,42031,4,3,1100
239400,239401,4,4,1945
240853,40350,2,2,11475
280346,201316,2,1,16575
800000,800020,1,2,36400
800003,800004,1,2,60450
800004,800003,1,1,60450
800006,800007,2,2,51150
800007,800006,2,1,51150
800020,800000,1,1,36400
800021,800022,2,2,27500
800022,800021,2,1,27500
801000,801001,1,2,51495
801000,801029,1,2,18355
801001,801000,1,1,51495
801001,801002,2,2,71750
801002,801001,2,1,71750
801029,801000,1,1,18355
801029,801030,2,2,25575
801030,801029,2,1,25575
802008,802042,1,1,15650
802028,802029,2,2,1325
802029,802028,2,1,1325
802042,802008,1,2,15650
802088,802089,4,3,3500
802089,802088,4,4,3500
802097,802098,1,1,6900
802098,802097,1,2,6900
802123,802124,1,2,12900
802124,802123,1,1,12900
802133,802134,2,2,2850
802134,802133,2,1,2850
802164,802165,2,2,4450
802165,802164,2,1,4450
